FileName,Order number,Date signed,Signed by,Detailed Summary,Agency Impacted,Within Executive Powers,Exceeds Executive Powers,Legal,Pros,Cons,Keywords,Authority granted to,Impacted entities,Budgetary impact,Enforcement Mechanism,Implementation timeline,Long-term Impact,Stakeholder Reactions,Historical Context,Implementation Challenges,Public Perception,Legal Precedents,Executive Order Comparisons,Executive Order Duration,Scope of Applicability,Interaction with Other Laws/Regulations,Delegated Powers,Revocation/Modification Process,Political Context,Priority Areas Addressed,Compliance Requirements,Court Involvement,Impact on International Relations,Enabling Legislation,Review and Oversight Mechanism,Temporary vs. Permanent Measures,Environmental Considerations,Civil Liberties Considerations,Public Health Impact,Data and Reporting Requirements,Security Implications,Partisan Support/Opposition,Executive Action Precedent,Economic Sector Impact,Labor/Workforce Impact,Technological Impact,Social Justice Considerations,Transparency,Public Engagement or Consultation
2025-02611_analysis.txt,14202,6-Feb-25,The President,"Executive Order 14202 aims to protect religious freedoms in the United States, specifically focusing on ending what it perceives as anti-Christian bias in government. It establishes a task force to investigate and address alleged discriminatory practices against Christians under the previous administration.",Multiple federal agencies,TRUE,,TRUE,Protects religious freedom; Addresses perceived anti-Christian bias; Promotes accountability for potential discrimination within government.,Potential for politicization of religious issues; Concerns about singling out specific religious groups; Risk of exacerbating societal divisions,religious freedom; anti-Christian bias; Task Force; executive order…,Task Force to Eradicate Anti-Christian Bias,"Americans, faith-based organizations, government agencies",Not specified,Agency investigations and recommendations for remedial action; Potential legal actions against individuals or agencies found guilty of discrimination.,120 days for initial report; 1 year for summary report; 2 years for task force duration,Potential for increased religious freedom protections; Shift in government policy towards religious groups; Possible legal challenges and ongoing debate about the scope of religious liberty.,Likely to be met with strong support from Christian groups and those concerned about religious discrimination; Potential opposition from secular organizations and those who view it as an encroachment on separation of church and state.,Reflects ongoing debates in the United States about the role of religion in public life and the balance between individual religious freedom and government neutrality,Identifying and proving instances of anti-Christian bias; Balancing religious freedom with other rights and interests; Potential resistance from agencies being investigated.,"Likely to be highly polarizing, with strong opinions on both sides.",Previous Supreme Court rulings on religious freedom and government action,May be compared to other executive orders related to religious liberty or civil rights.,"2 years, unless extended by the President",Nationwide,"Potentially impacts existing laws and regulations regarding discrimination, religious freedom, and government conduct.",Grants authority to the Task Force to investigate and recommend actions related to anti-Christian bias.,Can be revoked or modified by subsequent presidential action,Issued during a time of heightened political polarization and debate over religious issues.,"Religious freedom, combating discrimination, protecting Christian Americans.",Government agencies are expected to cooperate with the Task Force's investigations and recommendations.,Potential for legal challenges to the executive order or actions taken by the Task Force.,Not explicitly addressed,None specified; relies on existing laws and presidential authority,The President receives reports from the Task Force.,Establishes a temporary task force with a 2-year duration.,Not addressed,Raises concerns about potential infringement on civil liberties of non-Christian groups.,Not applicable,Task Force is required to submit reports to the President.,Not explicitly addressed,Likely to be supported by Republicans and opposed by Democrats.,Sets a precedent for using executive power to address perceived religious discrimination.,Not specified,Not specified,Not applicable,Raises questions about social justice and equality for all religions.,"Requires the Task Force to submit reports, but the details of its investigations may not be publicly available.",Does not explicitly mention public engagement or consultation.
2025-02612_analysis.txt,14203,6-Feb-25,DONALD J. TRUMP,"This executive order imposes sanctions on the International Criminal Court (ICC), alleging it has engaged in illegitimate and baseless actions targeting the United States and Israel. It cites the ICC's investigation of U.S. personnel, including former Prime Minister Benjamin Netanyahu and former Defense Minister Yoav Gallant, as justification for the sanctions.",International Criminal Court,,,,,,sanctions; International Criminal Court; ICC; Israel…,Secretary of the Treasury,"International Criminal Court officials, employees, and agents",,"Blocking property and assets, suspending entry into the United States",Immediate,,,,,,,,,International,"International Emergency Economic Powers Act (IEEPA), National Emergencies Act (NEA)",Secretary of the Treasury,,,"National security, foreign policy",,,,,,,,,,,,,,,,,,,
2025-02630_analysis.txt,14204,7-Feb-25,The President,"This Executive Order addresses the Republic of South Africa's recent Expropriation Act 13 of 2024, which allows for the seizure of ethnic minority Afrikaners' agricultural property without compensation. The order condemns South Africa's actions as unjust and immoral and outlines measures to halt U.S. aid to South Africa while promoting resettlement assistance for affected Afrikaners.","Multiple executive departments and agencies, including USAID",TRUE,,,,,South Africa; Expropriation Act 13 of 2024; Afrikaners; Refugee Resettlement…,Executive departments and agencies to halt foreign aid to South Africa,"Republic of South Africa, Afrikaner community",Halt of foreign aid to South Africa,Executive Order authority and discretion of agency heads,Immediate,"Potential shift in U.S.-South Africa relations, increased Afrikaner migration",,,,,,,,Republic of South Africa,,,,Tensions between the U.S. and South Africa over human rights and foreign policy issues,"Human rights, foreign policy, refugee resettlement",,,Potential strain on relations with South Africa and African partners,,,,,Focus on protecting the rights of Afrikaners,,,,,,,,,Addressing racial discrimination against Afrikaners,,
2025-02635_analysis.txt,14205,7-Feb-25,Joe Biden,"This executive order establishes the White House Faith Office within the Executive Office of the President. The office will be responsible for empowering faith-based entities, community organizations and houses of worship to serve families and communities. This order also amends previous executive orders related to faith-based initiatives, and outlines specific functions for the new office, including consulting with experts, making policy recommendations, coordinating training and education, identifying grant opportunities, and addressing religious liberty concerns.",Executive Office of the President,TRUE,FALSE,TRUE,Empowers faith-based organizations; Promotes religious freedom; Strengthens communities,Potential for favoritism towards certain religious groups; Concerns about separation of church and state,faith-based initiatives; religious liberty; White House Faith Office; community organizations…,White House Faith Office,"Faith-based entities, community organizations, houses of worship, Federal agencies",Not specified,Executive branch oversight,Immediate,Increased involvement of faith-based organizations in government programs and initiatives,"Likely positive from religious groups, potentially negative from secular organizations",Continues a history of executive orders promoting faith-based initiatives,"Ensuring equal treatment of all religions, navigating legal challenges","Likely mixed, with strong opinions on both sides",Previous executive orders related to faith-based initiatives,"Previous executive orders 13198, 13279, 13280, 13342, 13397",Until revoked or superseded,Federal government agencies and programs,Subject to existing laws and regulations protecting religious freedom,To the White House Faith Office and designated agency liaisons,By subsequent executive order,Reflects the Biden administration's focus on unity and inclusivity,"Strengthening families, promoting work and self-sufficiency, protecting religious liberty",Federal agencies must cooperate with the White House Faith Office,Possible legal challenges from groups opposed to faith-based initiatives,None specified,None specified,Presidential oversight,Permanent,Not mentioned,Emphasis on protecting religious liberty,Not mentioned,Not specified,Not mentioned,"Likely supported by Democrats, opposed by some Republicans",Continues a trend of executive orders promoting faith-based initiatives,Potential impact on non-profit sector,Potential impact on employment in faith-based organizations,Not mentioned,Emphasis on empowering marginalized communities through faith-based organizations,Executive order is publicly available,Consultation with experts and faith leaders
2025-02636_analysis.txt,14206,7-Feb-25,Donald Trump,This executive order aims to protect Second Amendment rights by directing the Attorney General to review existing policies and regulations that may infringe upon those rights. It calls for a plan of action to address any identified infringements and outlines a process for implementation.,"Department of Justice, Bureau of Alcohol, Tobacco, Firearms, and Explosives",TRUE,FALSE,TRUE,Protects Second Amendment Rights; Reviews potentially infringing policies,Potential for weakening gun control measures,Second Amendment; Firearms; Gun Control; Executive Order,Attorney General,"Law-abiding citizens, Federal agencies involved in firearms regulation",null,Through the Department of Justice and relevant agencies,"30 days for initial review and plan submission, further details to be determined",Potential shift in federal gun policy towards stronger protection of Second Amendment rights,"Likely divided along partisan lines, with gun rights advocates supporting the order and gun control advocates opposing it",Ongoing debate over gun control measures in the United States,Resistance from agencies tasked with enforcing existing gun regulations,"Polarized, with strong opinions on both sides of the issue",Previous executive orders related to firearms regulation,Comparison with previous executive orders addressing gun control or Second Amendment rights,Permanent,Nationwide,"Potential conflicts with existing federal, state, and local gun laws",Attorney General is delegated the authority to review policies and develop a plan of action,Subject to presidential discretion and potential legal challenges,Issued during a period of heightened political polarization on the issue of gun control,Protecting Second Amendment rights,Agencies are required to review existing policies and implement any changes outlined in the plan of action,Potential for legal challenges from both gun rights advocates and gun control advocates,Minimal direct impact,Existing firearms laws and regulations,"Department of Justice, Domestic Policy Advisor",Permanent,null,"Focuses on the right to bear arms, a fundamental civil liberty",Potential indirect impact depending on the specific policies reviewed and modified,May require agencies to collect data on the implementation of the plan of action,Potential for increased access to firearms,"Strong partisan divide, with Republicans likely supportive and Democrats likely opposed",Continues a pattern of executive actions addressing gun control,Potential impact on the firearms industry,null,null,Debates surrounding gun violence disproportionately affecting marginalized communities,Publicly available executive order and potential for public comment during the review process,Potential for public input through agency review processes
2025-02734_analysis.txt,Executive Order 14207,10-Feb-25,Donald Trump,"This executive order eliminates the Federal Executive Institute, a program providing leadership training to bureaucrats. It argues that the institute has contributed to an enlarged and entrenched Washington bureaucracy that does not benefit the American family. The order revokes previous documents establishing or requiring the existence of the institute.",Federal Executive Institute,TRUE,FALSE,TRUE,Eliminates a program seen as wasteful and contributing to bureaucracy; Redirects focus towards serving taxpayers,Potential loss of leadership training for government employees; May be perceived as an attack on career civil servants,Federal Executive Institute; bureaucracy; leadership training; taxpayer dollars…,Director of the Office of Personnel Management,"{Federal Executive Institute staff and participants, Office of Personnel Management}",Reduction in funding for the Federal Executive Institute,Office of Personnel Management,Immediate,Potential reduction in bureaucracy and increased focus on taxpayer interests,"Likely mixed, with support from those favoring smaller government and opposition from those valuing the institute's training",Established during Lyndon B. Johnson's administration over 50 years ago.,"{Resistance from career civil servants, Ensuring a smooth transition for existing programs}",Likely divided along partisan lines,Previous executive orders establishing and revoking government programs,,Permanent,Federal Executive Institute,Revokes relevant Presidential memoranda and portions of Executive Order 11348.,Director of the Office of Personnel Management,Presidential executive order,Part of a broader push to reduce government size and spending.,"Government efficiency, fiscal responsibility",N/A,Possible legal challenges from affected parties,,,Presidential review,Permanent,,,,,,Likely divided along partisan lines,Previous executive orders eliminating government programs,,Potential job losses for Federal Executive Institute staff,,,Publicly available through the Federal Register,
2025-02735_analysis.txt,14208,10-Feb-25,President (implied),"This Executive Order aims to end the use of paper straws by federal agencies and discourages their use nationwide. It criticizes the movement against plastic straws, citing concerns about the functionality, health risks, cost, and environmental impact of paper straw alternatives.",All executive departments and agencies,TRUE,FALSE,TRUE,Addresses perceived issues with paper straws; Promotes plastic straw usage,Potentially undermines environmental concerns; May be seen as siding with corporations over environmental advocates,Executive Order; paper straws; plastic straws; environmental policy…,Assistant to the President for Domestic Policy to develop a National Strategy to End the Use of Paper Straws,"Federal agencies, States, businesses",Not specified,"Policy directives, potential contract modifications with entities banning or penalizing plastic straw purchase/use",45 days for National Strategy; ongoing for policy changes,"Potential shift in public perception towards plastic straws, changes in procurement policies nationwide","Likely mixed, with environmental groups opposing the order and those favoring plastic straws supporting it.",Part of a broader trend of political debate around single-use plastics and environmental regulations.,Overcoming resistance from entities already committed to phasing out plastic straws,"Potentially controversial, as public opinion on plastic straw bans is divided",Previous Executive Orders related to environmental policy and procurement practices,Contrasting with previous orders promoting sustainability like Executive Order 14057 (Catalyzing Clean Energy Industries and Jobs Through Federal Sustainability),"Not specified, likely ongoing until revoked or modified.","Nationwide, targeting federal agencies initially but aiming for broader impact",Potentially conflicts with state and local laws banning plastic straws,Assistant to the President for Domestic Policy delegated to develop National Strategy,Can be revoked or modified by subsequent Executive Orders,Aligned with potential political priorities of favoring business interests over environmental concerns.,"Environmental policy, procurement practices",Federal agencies must comply with directives to eliminate paper straw procurement and policies disfavoring plastic straws,Possible legal challenges from environmental groups or states with existing bans on plastic straws,Minimal direct impact; could be seen as signaling a less environmentally focused stance internationally,None specified; relies on existing Presidential authority.,Not explicitly mentioned; subject to Congressional oversight and potential legal challenges.,"Implied permanence, but subject to revocation or modification by future administrations.","Downplays environmental concerns related to plastic straws, emphasizing perceived downsides of paper straws.",None apparent,Potentially negative if health risks associated with paper straws are significant,Not mentioned,None apparent,"Likely partisan divide, with Republicans supporting and Democrats opposing.",Continues the trend of using Executive Orders to address environmental policy issues,Potential benefit for plastics industry; potential negative impact on paper straw manufacturers.,Minimal direct impact; potential indirect effects depending on changes in production and consumption patterns.,None apparent,Potential concerns about disproportionate impact on marginalized communities reliant on disposable straws due to disability or other factors.,Moderate transparency through publication in the Federal Register; National Strategy development process not fully transparent.,No mention of public engagement or consultation during policy development.
2025-02736_analysis.txt,14209,10-Feb-25,President Donald Trump,"This executive order pauses enforcement of the Foreign Corrupt Practices Act (FCPA) for a period of 180 days to allow for a review of its application and impact on U.S. foreign policy and economic competitiveness. The order argues that the FCPA has been overextended beyond its original intent, harming American businesses abroad and impeding the President's Article II authority over foreign affairs.",Department of Justice,TRUE,FALSE,TRUE,Potentially boosts American economic competitiveness abroad.; Allows for review and potential reform of FCPA guidelines.,May be perceived as undermining the fight against corruption.; Could weaken accountability for U.S. companies operating overseas.,Foreign Corrupt Practices Act (FCPA); Executive Order; Presidential Authority; National Security…,Attorney General,"{American businesses, U.S. Department of Justice, Foreign governments}","Not specified, but potential for redirection of resources within the Department of Justice.",Review and revision of FCPA guidelines and policies by the Attorney General.,"180 days, with potential for extension.","Potential for significant changes to FCPA enforcement, depending on the outcome of the review process.","Likely mixed reactions from businesses, human rights groups, and foreign governments.",The FCPA has been subject to debate regarding its scope and impact since its enactment in 1977.,Balancing national security interests with concerns about corruption and accountability.,Could be seen as a positive step by American businesses or a negative step by those concerned about corruption.,Previous executive orders regarding regulatory review and enforcement priorities.,May be compared to other executive orders aimed at deregulation or promoting business interests.,"Initial duration of 180 days, with potential extension.",Applies to all FCPA investigations and enforcement actions.,Potentially affects the application and interpretation of other laws related to international business conduct.,Attorney General is delegated authority to review and revise FCPA guidelines and policies.,Can be revoked or modified by subsequent executive orders.,Issued within a context of increasing focus on American economic competitiveness and concerns about regulatory burdens.,"National security, economic growth, regulatory reform.","Not specified, but potentially subject to changes based on revised guidelines.",Possible legal challenges to the order or its implementation.,Could strain relations with foreign governments concerned about weakening anti-corruption efforts.,Foreign Corrupt Practices Act (15 U.S.C. 78dd-1 et seq.),Subject to congressional oversight and potential legal challenges.,"Initially temporary, with the potential for permanent changes depending on the review outcome.",Not specifically addressed.,Not directly addressed.,Not applicable.,Not specified.,"Potentially strengthens national security by promoting American economic interests abroad, but could also be seen as weakening accountability for U.S. companies operating in sensitive regions.","Likely to face opposition from Democrats and human rights groups, while supported by Republicans and business interests.",Continues a trend of using executive orders to advance policy priorities.,Potentially significant impact on various economic sectors with international operations.,Not directly addressed.,Not directly addressed.,May raise concerns about potential for increased corruption and exploitation in developing countries.,Limited transparency regarding the review process and potential outcomes.,No specific mention of public engagement or consultation.
2025-02762_analysis.txt,14210,11-Feb-25,Donald Trump,"This executive order aims to reduce the size of the federal workforce through attrition and efficiency improvements. It directs agency heads to implement hiring freezes and reductions in force (RIFs), prioritizes certain positions for elimination, and mandates reporting on implementation progress.",All Federal Agencies,TRUE,FALSE,TRUE,Reduced federal spending; Increased efficiency,Potential loss of expertise; Negative impact on morale,workforce reduction; efficiency; RIFs; hiring freeze…,Agency Heads and the Director of OPM,"Federal employees, contractors",Decrease in federal spending,"Reporting requirements, potential disciplinary action for non-compliance","Immediate, with reporting deadlines within 30 and 240 days",Potential long-term reduction in the size of the federal workforce and changes to agency operations,,,"Resistance from federal employees and unions, potential legal challenges",,,,,All Federal Agencies,"Potentially impacts various laws regarding hiring, firing, and agency operations",,Standard presidential revocation or amendment process,Part of a broader conservative agenda focused on reducing government size and spending,"Government efficiency, workforce reduction",Reporting requirements for agencies and OPM,,,,USDS Administrator report to the President,Permanent changes to hiring and RIF policies,,,,Monthly reports from DOGE Team Leads to USDS Administrator,,,,,Significant potential impact on federal employees,,,Reports required to be submitted,
2025-02841_analysis.txt,Executive Order 14211,12-Feb-25,Joe Biden,"This executive order focuses on reforming the U.S. Foreign Service to ensure faithful implementation of the President's foreign policy agenda. It emphasizes the role of the Secretary of State in overseeing and directing foreign policy execution, outlines personnel procedures for addressing performance and conduct issues within the Foreign Service, and mandates reforms in recruiting, performance evaluations, retention standards, and training programs.",Department of State,TRUE,FALSE,TRUE,Strengthened presidential authority over foreign policy; Potential for improved Foreign Service effectiveness; Increased accountability within the State Department,Centralization of power in the executive branch; Potential for politicization of the Foreign Service; Limited scope focused solely on personnel issues,Foreign Policy; Executive Order; Department of State; Foreign Service…,Secretary of State,"{Members of the Foreign Service, Civil Service employees within the Department of State, Other Staff (locally employed staff and special Government employees)}",Not specified in the text,Subject to the supervision of the President and applicable law,Immediate,"{Potential for a more cohesive and efficient foreign policy implementation, Possible changes to the culture and structure of the Foreign Service}",Not mentioned in the text,Builds on existing structures and authorities related to the Foreign Service Act of 1980 and Article II of the Constitution,"{Resistance to change within the State Department, Balancing presidential authority with career diplomat autonomy}",Not discussed in the text,"Article II of the U.S. Constitution, Foreign Service Act of 1980",None mentioned in the text,"Indefinite, unless revoked or modified by subsequent executive action",U.S. Department of State and its personnel involved in foreign policy implementation,Subject to applicable law,Authority delegated to the Secretary of State for overseeing Foreign Service personnel matters and implementing reforms,Through subsequent executive action by the President,Issued by a Democratic president focusing on strengthening executive control over foreign policy,"{Foreign Policy Implementation, Personnel Management within the Foreign Service}","Not specifically outlined, but subject to applicable law and regulations",Potentially relevant in cases challenging the constitutionality or legality of the order's provisions,Indirectly through potential changes in U.S. foreign policy execution,Foreign Service Act of 1980,Subject to congressional oversight and judicial review,Permanent unless revoked or modified,Not mentioned,Potential implications for freedom of speech and dissent within the Foreign Service,Not applicable,Not specified,Indirectly related to national security through potential changes in foreign policy implementation,Likely to face opposition from those who favor a less centralized approach to foreign policy,Establishes precedent for presidential intervention in Foreign Service personnel matters,Indirectly related through potential shifts in U.S. foreign policy priorities,"Direct impact on the Foreign Service workforce, potentially leading to changes in recruitment, training, and retention practices",Not directly addressed,Potential implications for diversity and inclusion within the Foreign Service,Limited information provided about the process leading to the order's issuance,No mention of public engagement or consultation
2025-02871_analysis.txt,14212,13-Feb-25,The President,"This executive order establishes the President's Make America Healthy Again Commission to address the growing health crisis in the United States. The commission will focus on reducing chronic disease rates and ending childhood chronic diseases. It will investigate contributing factors such as diet, environmental exposures, medical treatments, lifestyle choices, and government policies.",,,,,,,health; chronic disease; children's health; commission…,President's Make America Healthy Again Commission,"{Federal agencies, American citizens, children}",Not specified,,"100 days for initial assessment, 180 days for strategy",Potentially significant improvement in national health outcomes,,,,,,,,National,,,,Concerns about rising healthcare costs and declining health outcomes in the US,"{Chronic disease prevention, Childhood health, Health disparities}",,,,,The President,,,,Potential for significant positive impact,,,,,,,,,,The Commission may hold public hearings and meetings
2025-02928_analysis.txt,14213,14-Feb-25,Donald Trump,"This executive order establishes the National Energy Dominance Council within the Executive Office of the President. The council is tasked with advising the president on how to increase American energy production and achieve energy dominance. It will focus on streamlining permitting processes, promoting investment in all sectors of energy production, and eliminating unnecessary regulations.",Multiple executive departments and agencies,TRUE,,,,,energy dominance; National Energy Dominance Council; energy production; regulation…,National Energy Dominance Council,"Federal agencies, energy industry, state and local governments, Tribal governments",,,"Within 100 days for initial recommendations, ongoing thereafter","Potentially significant impact on US energy production, regulation, and global energy markets",,,,,,,,National,Aims to streamline existing regulations and permitting processes,Council is delegated advisory authority by the president,Can be revoked or modified by the president,"Signed by President Trump, who made energy dominance a key policy priority","Energy production, infrastructure development, regulatory reform",,,"Potentially significant, as it aims to strengthen US energy position globally",,Reports to the Office of the Chief of Staff,Permanent unless revoked by a subsequent president,Mentioned indirectly through focus on energy production and potential impact on natural resources,,,,Energy security is mentioned as a key goal,,,Significant potential impact on energy sector and related industries,,,,,"Council required to consult with State, local, and Tribal governments and private sector representatives"
2025-02931_analysis.txt,14214,14-Feb-25,President (assumed to be Joe Biden based on the document's date),"This executive order prohibits federal funds from being used to support educational institutions that mandate COVID-19 vaccinations for students. It directs the Secretary of Education to issue guidelines on parental rights, religious freedom, and disability accommodations related to vaccine mandates.",Department of Education,TRUE,FALSE,TRUE,Protects parental rights; Supports individual choice regarding vaccinations; Promotes transparency in educational policies,Potential for increased COVID-19 transmission in schools; May be seen as politically motivated; Could lead to legal challenges,COVID-19; vaccine mandates; education; federal funding…,Secretary of Education,"{Elementary schools, Local educational agencies, State educational agencies, Secondary schools…}",Potential reduction in federal funding for non-compliant institutions,"Withholding of federal funds, rescinding existing grants and contracts",90 days,"Uncertain, potential for increased polarization around vaccination policies","{Positive from anti-vaccine groups, Negative from public health advocates}",COVID-19 pandemic and debates over vaccine mandates,Defining 'coercion' and ensuring compliance from diverse educational institutions,Likely divided along political lines,{Jacobson v. Massachusetts (1905)},,Indefinite,Nationwide,Potential conflict with state and local vaccine mandates,Secretary of Education,Presidential action,Highly politicized issue,"Public health, education, individual rights","Issuing guidelines, reviewing funding allocations",Likely,,,"Presidential review, congressional oversight",Permanent,,"{Parental rights, Religious freedom, Bodily autonomy}",Potential increase in COVID-19 transmission,,,Strong partisan divide,Previous executive orders on vaccine mandates,Education sector,,,"{Equity in access to education, Impact on marginalized communities}",High,
2025-03063_analysis.txt,14215,18-Feb-25,The President,"This executive order aims to increase presidential supervision and control over independent regulatory agencies. It mandates review of proposed regulations by the Office of Information and Regulatory Affairs (OIRA), establishes performance standards for agency heads, allows adjustments to agency budgets based on presidential priorities, and requires regular consultation between agencies and the White House.",Independent regulatory agencies,TRUE,FALSE,TRUE,Increased accountability of independent agencies to the President and ultimately the American people.; More unified and coherent execution of federal law.,Potential for politicization of regulatory decisions.; Reduced autonomy of independent agencies.,accountability; regulatory agencies; executive power; presidential supervision…,The President,"Independent regulatory agencies, employees of independent regulatory agencies",Allows for adjustments to agency budgets based on presidential priorities.,"Presidential oversight and control, OIRA review of regulations","Within 60 days from the date of the order, or completion of implementation guidance.",Potential for increased centralization of power within the executive branch and a shift in the balance of power between the President and independent agencies.,,Previous administrations have allowed for significant autonomy among independent regulatory agencies.,Resistance from independent agencies accustomed to greater autonomy.,,"Executive Order 12866 of September 30, 1993 (Regulatory Planning and Review)",,,"All executive departments and agencies, including independent regulatory agencies.",Requires review of regulations under the Administrative Procedure Act.,Power to adjust agency budgets based on presidential priorities delegated to the Director of OMB,,Issued during a period of heightened focus on regulatory reform and government accountability.,"Regulatory oversight, executive branch accountability",,,,,"OIRA review of regulations, reporting by independent agency heads to the President on performance standards.",,,,,,,,Previous executive orders have sought to streamline regulatory processes and enhance presidential oversight.,,,,,Requires agency strategic plans to be submitted to OMB for clearance prior to finalization.,Requires independent regulatory agencies to establish a White House Liaison position.
2025-03064_analysis.txt,14216,18-Feb-25,President Biden,This executive order aims to expand access to in vitro fertilization (IVF) treatment for Americans struggling with infertility. It directs the Assistant to the President for Domestic Policy to recommend policies that protect IVF access and reduce costs associated with IVF treatments.,,TRUE,FALSE,TRUE,Expands access to IVF treatment; Aims to make IVF more affordable,,IVF; fertility; access to healthcare; affordable treatment,Assistant to the President for Domestic Policy,"{Individuals experiencing infertility, Healthcare providers, Insurance companies}","Not specified, but aims to reduce costs associated with IVF treatment.",,"90 days from February 18, 2025",Increased access to fertility treatments for Americans,,,,,,,,Nationwide,Directs policy recommendations to be consistent with applicable law,TRUE,,,"{Healthcare access, Family formation}",,,,,,,,,Potential increase in successful pregnancies,,,,,{Healthcare industry},,,{Access to healthcare for all},TRUE,
2025-03133_analysis.txt,14217,19-Feb-25,Joe Biden,"This executive order aims to reduce the size of the federal government and bureaucracy. It eliminates non-statutory components and functions of specific governmental entities, directs the termination of unnecessary Federal Advisory Committees, and revokes prior directives related to regional coordination and management programs.","Multiple agencies are impacted, including but not limited to: Presidio Trust, Inter-American Foundation, United States African Development Foundation, United States Institute of Peace, Bureau of Consumer Financial Protection, Federal Deposit Insurance Corporation, Department of Health and Human Services, Centers for Medicare and Medicaid Services.",TRUE,,TRUE,Reduced government size and spending; Potential increase in efficiency and accountability; Elimination of potentially redundant or unnecessary programs,Potential loss of expertise and services provided by eliminated entities; Impact on employment within targeted agencies; Possible legal challenges to the order's implementation,Federal bureaucracy; Government reduction; Executive order; Federal advisory committees…,"The President, by the Constitution and laws of the United States of America.","{Presidio Trust, Inter-American Foundation, United States African Development Foundation, United States Institute of Peace…}",Expected to reduce government spending.,"Office of Management and Budget (OMB) Director oversees implementation and reviews budget requests, agency heads submit compliance reports.","Within 14 days of the order for initial actions, 30 days for identification of additional entities.","Potential long-term reduction in government size and spending, potential shifts in policy priorities and service delivery.",,,"Potential legal challenges, resistance from affected agencies and stakeholders.",,,,,Federal government agencies and programs specified in the order.,OMB Director reviews budget requests to ensure consistency with applicable law.,Authority delegated to agency heads for implementing terminations and reporting compliance.,"Not explicitly outlined in the order, likely subject to standard executive order amendment or revocation processes.",,"Government efficiency, budget reduction, streamlining bureaucracy.",Agency heads required to submit compliance reports and eliminate specified programs/functions.,,,,OMB Director reviews budget requests and agency compliance reports.,Permanent changes to the structure of targeted agencies and programs.,,,,Agency heads required to submit reports confirming compliance with the order.,,,,Potential impact on sectors reliant on targeted agencies or programs.,Possible job losses due to agency downsizing.,,,Public availability of the order and agency compliance reports.,
2025-03137_analysis.txt,14218,19-Feb-25,Donald Trump,"This executive order aims to prevent taxpayer-funded benefits from going to illegal aliens. It directs federal agencies to identify and align federally funded programs with the goals of the Personal Responsibility and Work Opportunity Reconciliation Act of 1996 (PRWORA), which limits access to public benefits for illegal immigrants. The order also seeks to prevent federal funding from supporting sanctuary policies and to enhance eligibility verification systems.",,TRUE,FALSE,,Upholds the rule of law; Defends against waste of taxpayer resources; Protects benefits for American citizens,Potentially restricts access to essential services for vulnerable populations; May be challenged in court on legal grounds; Could contribute to negative public perceptions of immigrants,immigration; illegal immigration; taxpayer funding; public benefits…,Heads of executive departments and agencies,"Federal agencies, states, localities, illegal aliens",,"Agency actions, referrals to Department of Justice and Homeland Security",30 days for initial actions,"Potential reduction in federal spending on public benefits for illegal aliens, potential legal challenges","Likely opposition from immigrant rights groups, support from anti-immigration groups",Builds upon previous attempts to restrict access to public benefits for illegal immigrants,"Resistance from states and localities with sanctuary policies, legal challenges","Potentially polarizing, depending on individual views on immigration","PRWORA, other executive orders related to immigration",,,United States,May conflict with state and local laws promoting access to public benefits for all residents,,Presidential action,Issued by a Republican president in a politically polarized environment,"Immigration, fiscal responsibility",Federal agencies required to take specific actions to align programs with the order,Possible legal challenges from immigrant rights groups or states,Potential for strained relations with countries whose citizens are affected by the order,,"Congressional oversight, potential judicial review",Permanent,,Potential infringement on the rights of immigrants to access essential services,Potential negative impacts on public health if undocumented immigrants are less likely to seek medical care due to fear of deportation,,,"Likely strong support from Republicans, strong opposition from Democrats",Previous executive orders on immigration by previous administrations,Potential impact on industries reliant on immigrant labor,Potential reduction in the undocumented workforce,,Raises concerns about equity and access to essential services for vulnerable populations,Publicly available executive order,
2025-03138_analysis.txt,14219,19-Feb-25,Donald Trump,"This executive order directs federal agencies to review existing regulations and prioritize enforcement of those deemed lawful and consistent with Administration policy. It aims to reduce regulatory burden on businesses and individuals by rescinding or modifying regulations deemed unconstitutional, exceeding statutory authority, or imposing undue costs.",,TRUE,FALSE,TRUE,Reduce regulatory burden; Promote economic growth,Potential weakening of environmental and social protections; Challenges to implementation and enforcement,Regulatory Reform; Deregulation; Executive Power; Administrative State…,Agency heads,"Businesses, individuals, federal agencies",Potentially reduced spending on enforcement,Review and termination of enforcement proceedings,60 days for initial review,Potential shift in regulatory landscape towards deregulation,"Mixed reactions from businesses, advocacy groups, and legal experts",Part of a broader trend of deregulation efforts by the Trump Administration,"Complexity of regulations, potential legal challenges",Divided public opinion on the merits of deregulation,Executive Order 12866 (Regulatory Planning and Review),,,Federal agencies subject to executive branch authority,Aims to align regulations with statutory authority,,Outlined in the order through agency review and OIRA consultation,Part of a conservative agenda emphasizing limited government intervention,"Economic growth, reducing regulatory burden",Agencies required to submit lists of regulations for review,Potential legal challenges to the order's implementation,,,OIRA oversight and potential Congressional scrutiny,Intended as a long-term shift in regulatory approach,Potential weakening of environmental regulations,Potential impact on individual rights and freedoms,Potential impact on public health regulations,,,"Strong support from Republicans, opposition from Democrats",Continues trend of executive actions aimed at deregulation,Broad impact across various economic sectors,Potential impact on labor regulations and worker protections,Potential impact on regulations governing technology and innovation,Concerns about potential negative impacts on marginalized communities,Public disclosure of agency reviews and OIRA guidance,
